Item Name,Item Image,Item Price,Item Currency,Item Url
Montrouge Merlot 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/MONTROUGE_MERLOT_61ef27dd-c387-4415-8024-65f446f03e1e_grande.jpg?v=1547474488,499.00,₱,https://boozy.ph/collections/all-products/products/montrouge-merlot-750ml
Tanqueray 700ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Tanqueray750ml_grande.jpg?v=1537498534,999.00,₱,https://boozy.ph/collections/all-products/products/tanqueray-700ml
Don Papa Rum 10yo 700ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Don_Papa_10_b99c037a-129d-4b8b-b46e-817e2f088756_grande.jpg?v=1537495574,2599.00,₱,https://boozy.ph/collections/all-products/products/don-papa-10yo-700ml
Johnnie Walker Double Black 1L,https://cdn.shopify.com/s/files/1/2141/9909/products/JOHNNIE_WALKER_DOUBLE_BLACK_1L_grande.png?v=1537872827,1949.00,₱,https://boozy.ph/collections/all-products/products/johnnie-walker-double-black-1l
Don Papa Rum 7yo 700ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Don_Papa_7_grande.jpg?v=1537495588,2099.00,₱,https://boozy.ph/collections/all-products/products/don-papa-7yo-700ml
Montrouge Rosé 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/MONTROUGE_ROSE_93ffdbcf-1fa0-4a2d-b965-7c702ac09914_grande.jpg?v=1537499081,1649.00,₱,https://boozy.ph/collections/all-products/products/montrouge-rose-750ml
Tequila Rose 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Tequila_Rose_750mL_grande.jpg?v=1537499158,549.00,₱,https://boozy.ph/collections/all-products/products/tequila-rose-750ml
Tiger Black 500ml can,https://cdn.shopify.com/s/files/1/2141/9909/products/Tiger_Black_500mL_Can_dd63b231-6716-4526-8560-52de9418b913_grande.jpg?v=1537499565,899.00,₱,https://boozy.ph/collections/all-products/products/tiger-black-500ml-can
Martini Prosecco 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Martini_Prosecco_grande.jpg?v=1537498234,45.00,₱,https://boozy.ph/collections/all-products/products/martini-prosecco-750ml
Sapporo 330ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Sapporo_4bb263e7-a851-4152-bcaf-4baf291e4042_grande.jpg?v=1542637470,749.00,₱,https://boozy.ph/collections/all-products/products/sapporo-330ml
